year,start_date,episodes,rho_mean,return_mean,iv_change_mean,delta_gap_mean,diff_pnl_mean,diff_reward_mean,sum_excess_var,gross_abs_share,log_ratio_reduction_if_removed,no_parachute_down_steps_mean,weak_up_coupling_steps_mean
2015,2015-01-02,10,-0.680427400451048,0.006853387348265105,-0.0034406179388111026,-0.035298444265029,0.2815068799106248,3.4942777415934314,-0.0002462210313372322,0.017356198964828273,0.001767618605303778,2.3,2.1
2015,2015-02-05,1,0.012832007767518746,0.02073290202430722,-0.011891431021863408,0.003866465803056221,0.039681127314774925,1.141617980527317,0.00125742783759478,0.004576057564129113,0.002469804939448955,5.0,5.0
2015,2015-03-09,6,0.0044669549702155,0.009735273655288257,-0.011030113360674628,-0.03386112728843024,0.10804218129031523,-0.3334797678413938,0.0018689545989137141,0.009151731945446611,0.00503885863197942,5.833333333333333,4.0
2015,2015-04-08,1,-0.22357758465371244,0.014429820347775957,0.0033759106041940934,-0.017351441935524004,0.11372183728556726,0.49789110961735916,0.0006986748214734412,0.0025426319555527637,0.002850406217434487,5.0,3.0
2015,2015-05-07,6,-0.3089182108419431,0.004473437170718649,-0.0011466421094681485,-0.01941109838135204,0.06789288714755076,0.6313401107909846,0.0072612797541117425,0.026425400448919223,0.019043820479163753,4.333333333333333,3.0
2015,2015-06-08,7,-0.8084328005527252,0.008700270062868156,-0.01240352176976613,-0.037768585215168536,0.08391226442506802,3.3813328333670856,0.0059378043633242766,0.025890241785775824,0.014562280867407712,3.0,1.5714285714285714
2015,2015-07-08,6,-0.8136304355368565,-0.02862616551539965,0.013186227156295529,-0.035262001054293744,0.11080240346231725,4.218996715705862,0.03120028110000034,0.25389680353413613,0.22455635685064512,4.5,3.1666666666666665
2015,2015-08-06,8,-0.7622437839894005,-0.06727040853052825,0.015294540514725487,-0.0395090286099217,-0.2884930936966503,0.5452492490072963,-0.13050140162632798,0.47492341762045354,-0.22483856821791634,2.5,2.375
2015,2015-09-04,18,-0.5410592414230214,0.0655250115530478,-0.03626421164094151,-0.049815758666995474,0.3475557748983885,2.029833399032923,-0.0418441362632146,0.15519775988272627,-0.06497368749412936,2.888888888888889,1.5
2015,2015-10-06,3,-0.5297145428818142,0.048169080002895694,0.01722956804553454,-0.01661783617542224,0.36115456997705314,2.613575403604144,8.378440905885661e-05,0.008861915246121928,0.0005136819479701904,3.0,3.0
2015,2015-11-04,9,-0.6727502495597246,-0.025238113355908125,0.012023017708616423,-0.032899649776214714,0.10115258723541062,1.0941756754216847,0.0001868200052187371,0.021177841051910527,0.0014758033251372205,2.7777777777777777,1.8888888888888888
2016,2016-01-04,12,-0.6563099506411282,-0.0485126528827907,-0.010136201569753612,-0.04119107187851332,-0.2244892639939996,1.034663987328508,-0.014888775870206499,0.33026395026841104,-0.12713589986470783,1.5833333333333333,2.25
2016,2016-02-03,5,-0.6810067014332292,0.052475661657830755,-0.007598079818695802,-0.04137806036488251,0.29884265532800597,3.4851655747855235,-0.00039625608923153166,0.08856983247428526,-0.00122519569573791,1.8,3.0
2016,2016-03-04,8,-0.6345277275861676,0.028168617880486774,0.0020030915596107573,-0.023547735250511202,0.13756390337439084,2.105013458976484,-0.002900126851138647,0.037973396273182226,-0.021204654315930646,2.125,3.5
2016,2016-04-05,14,-0.5528430996799253,0.012165196034602279,-0.015096908993882203,-0.02789625670408054,0.06805898099553719,0.9099691745908228,-0.0007572435311899016,0.06883162421705341,-0.002334529821001144,3.5,2.4285714285714284
